750000000001,Jugo Jumex de Manzana 500ml,No,Sí,Jugo Jumex Manzana 500ml,Pieza
750000000002,Jugo Jumex de Durazno 500ml,No,Sí,Jugo Jumex Durazno 500ml,Pieza
750000000003,Jugo Jumex de Uva 500ml,No,Sí,Jugo Jumex Uva 500ml,Pieza
750000000004,Jugo Jumex de Naranja 500ml,No,Sí,Jugo Jumex Naranja 500ml,Pieza
750000000005,Jugo Jumex de Mango 500ml,No,Sí,Jugo Jumex Mango 500ml,Pieza
750000000006,Jugo Jumex de Fresa 500ml,No,Sí,Jugo Jumex Fresa 500ml,Pieza
750000000007,Jugo Jumex de Guayaba 500ml,No,Sí,Jugo Jumex Guayaba 500ml,Pieza
750000000008,Jugo Jumex de Piña 500ml,No,Sí,Jugo Jumex Piña 500ml,Pieza
750000000009,Jugo Jumex de Mandarina 500ml,No,Sí,Jugo Jumex Mandarina 500ml,Pieza
750000000010,Jugo Jumex de Kiwi 500ml,No,Sí,Jugo Jumex Kiwi 500ml,Pieza
750000000011,Jugo Jumex de Toronja 500ml,No,Sí,Jugo Jumex Toronja 500ml,Pieza
750000000012,Jugo Jumex de Zarzamora 500ml,No,Sí,Jugo Jumex Zarzamora 500ml,Pieza
750000000013,Jugo Jumex de Limón 500ml,No,Sí,Jugo Jumex Limón 500ml,Pieza
750000000014,Jugo Jumex de Coco 500ml,No,Sí,Jugo Jumex Coco 500ml,Pieza
750000000015,Jugo Jumex de Granada 500ml,No,Sí,Jugo Jumex Granada 500ml,Pieza
